Q_TotalDuration,Q1.1,Q1.1_TEXT,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_7,Q7.1_8,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.2_5,Q7.2_6,Q7.2_7,Q7.2_8,Q14.1,Q14.2,Q14.3,Q14.4_1,Q14.4_2,Q14.4_3,Q14.4_4,Q14.4_5,Q14.4_6,Q14.4_7,Q14.5_1,Q14.5_2,Q14.5_3,Q14.5_4,Q14.5_5,Q14.5_6,Q14.5_7,Q14.5_8,Q14.5_9,Q14.5_10,Q15.1,Cluster_3
974,1, ,5,1,5,5,4,2,1,1,1,1,2,2,2,46,45,44,48,44,43,45,47,1,5,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1
1015,2, ,2,2,5,5,2,2,2,2,2,2,2,2,2,41,41,41,39,43,42,43,47,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
873,2, ,6,1,5,5,3,1,1,2,1,1,1,1,2,43,40,28,38,41,40,40,38,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1092,2, ,3,2,6,4,5,1,2,2,1,2,2,2,2,39,39,37,43,27,41,31,39,1,5,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1228,1, ,3,1,7,5,4,1,2,1,1,1,1,1,2,34,-27,45,37,20,46,24,24,1,4,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
1091,2, ,6,3,5,5,4,2,1,1,1,1,1,1,2,3,34,12,33,38,50,8,28,1,3,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2
1331,2, ,2,1,3,6,1,2,1,2,1,2,1,1,2,17,26,13,16,37,41,-20,9,2,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,2
9537,2, ,3,1,6,4,1,1,1,1,1,1,1,2,2,45,10,-42,47,15,32,-42,-15,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2
7961,1, ,2,1,5,5, ,1,1,2,2,2,2,1,2,31,37,37,42,35,29,40,33,3,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
464,2, ,4,2,4,4,1,2,2,2,2,1,2,1,2,8,26,10,31,23,38,37,34,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1356,2, ,6,3,5,5,3,2,1,1,1,1,1,1,2,21,20,0,50,50,50,-50,20,2,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2
1183,2, ,3,3,6,5,6,2,1,2,2,2,2,2,2,48,43,47,46,46,45,43,33,2,4,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1396,2, ,3,1,7,5,5,1,2,1,1,2,1,1,2,23,-1,1,21,1,1,19,1,2,4,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,3
586,2, ,5,1,5,5,1,2,1,1,1,2,1,1,2,9,12,18,48,25,14,11,22,3,1,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,3
424,2, ,3,1,5,5,2,2,1,1,1,1,1,1,2,16,23,15,20,22,24,19,21,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1167,2, ,6,3,5,5,7,1,1,1,1,1,2,1,2,23,23,13,19,21,41,-18,-9,2,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2
1975,2, ,3,1,7,5,5,1,1,1,1,1,1,1,2,16,24,16,4,13,12,15,13,2,4,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,3
2709,2, ,4,3,5,5,3,2,2,1,1,2,1,1,2,30,50,27,50,40,18,5,20,2,2,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,4,1
3194,1, ,5,1,5,5,5,1,2,1,1,1,1,1,2,36,6,32,2,2,30,5,23,2,4,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,3
1570,2, ,6,3,3,5,3,1,2,2,1,2,1,1,2,9,49,26,48,50,50,-41,-41,2,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2
351,2, ,3,1,6,5,3,2,1,2,1,2,1,2,2,37,33,37,32,29,40,46,42,1,4,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
714,1, ,3,3,6,5,4,1,2,1,2,2,2,1,2,41,44,44,44,34,41,33,43,1,5,3,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,1
